Excel Row,Excel Title,Excel SKU,Primary SKU Searched,Shopify Product Title,Shopify Product ID,Shopify Product GID,Match Status,Match Method,Notes
46,M8 Plasterboard Fixings Wall Screws Set ~6889,RWHX08BXGY,RWHX08BXGY,M8 Plasterboard Fixings Wall Screws Set ~6889,15378840158594,gid://shopify/Product/15378840158594,MATCHED,GraphQL productVariants query by SKU,
47,Metal Ceiling Rose 100mm M10 Pendant Canopy Kit ~6816,CRSFM110080BM,CRSFM110080BM,Metal Ceiling Rose 100mm M10 Pendant Canopy Kit ~6816,15348209549698,gid://shopify/Product/15348209549698,MATCHED,GraphQL productVariants query by SKU,
48,Modern Ceiling Pendant Light Shade Easy Fit Ribbed Glass Lampshade ~6619,LSGL14010CL+RPM40WH,LSGL14010CL+RPM40WH,Modern Ceiling Pendant Light Shade Easy Fit Ribbed Glass Lampshade ~6619,15326195581314,gid://shopify/Product/15326195581314,MATCHED,GraphQL productVariants query by SKU,Resolved via full composite SKU match
49,Modern Ceiling Pendant Light Shade Ribbed Glass Easy Fit Chandelier Lampshade~6798,LSGLULSG+RPM40WH,title_search:6798,Modern Ceiling Pendant Light Shade Ribbed Glass Easy Fit Chandelier Lampshade~6798,15332772381058,gid://shopify/Product/15332772381058,MATCHED,GraphQL productVariants query by SKU,Resolved via product number + title match (6798)
50,Modern Clear Glass Pendant Light with Black Metal Ceiling Rose ~6699,CRSF100BM+PHTC1PBRBM+LSGL9015CL,CRSF100BM+PHTC1PBRBM+LSGL9015CL,Modern Clear Glass Pendant Light with Black Metal Ceiling Rose ~6699,15287119020418,gid://shopify/Product/15287119020418,MATCHED,GraphQL productVariants query by SKU,Resolved via full composite SKU match
51,Moroccan Pendant Light Shade – French Gold Crystal E27 ~6768,WCBTC140FG+RPR44WH,WCBTC140FG+RPR44WH,Moroccan Pendant Light Shade – French Gold Crystal E27 ~6768,15313956110722,gid://shopify/Product/15313956110722,MATCHED,GraphQL productVariants query by SKU,Resolved via full composite SKU match
52,Natural Wooden Wall Light E27 LED Rustic Indoor Sconce ~6775,WLWOFTWO+CBSF70+CBSFBM+LDSST64E274,WLWOFTWO+CBSF70+CBSFBM+LDSST64E274,Natural Wooden Wall Light E27 LED Rustic Indoor Sconce ~6775,15319626023298,gid://shopify/Product/15319626023298,MATCHED,GraphQL productVariants query by SKU,Resolved via full composite SKU match
53,Ø13cm H15.5 Mini Tiered Beehive Ribbed Glass Shade ~6926,LSGL3L150AR+RPM40WH_HIT,title_search:6926,Ø13cm H15.5 Mini Tiered Beehive Ribbed Glass Shade ~6926,15389786145154,gid://shopify/Product/15389786145154,MATCHED,GraphQL productVariants query by SKU,Resolved via product number title search (6926)
54,Pendant Light With Inner On Off Switch ~6885,CRSF100BM+PHSW1PBRBM+LSFT255BD,CRSF100BM+PHSW1PBRBM+LSFT255BD,Pendant Light With Inner On Off Switch ~6885,15379889389954,gid://shopify/Product/15379889389954,MATCHED,GraphQL productVariants query by SKU,Resolved via full composite SKU match
55,Plug In GU10 Wall Light Adjustable Spotlight with Switch ~6818,ENC10056,ENC10056,Plug In GU10 Wall Light Adjustable Spotlight with Switch ~6818,15349401223554,gid://shopify/Product/15349401223554,MATCHED,GraphQL productVariants query by SKU,
