Excel Row,Excel Title,Excel SKU,Primary SKU Searched,Shopify Product Title,Shopify Product ID,Shopify Product GID,Match Status,Match Method,Notes
14,9W (60W eqv) 806lm E27 LED Bulb A60 GLS 6400K ~6913,LDCWA60HE279,LDCWA60HE279,9W (60W eqv) 806lm E27 LED Bulb A60 GLS 6400K ~6913,15383413195138,gid://shopify/Product/15383413195138,MATCHED,GraphQL productVariants query by SKU,
15,9W GU10 LED Downlight Module Cool White 6400K COB Lamp ~6801,LPMP50CW9W,LPMP50CW9W,9W GU10 LED Downlight Module Cool White 6400K COB Lamp ~6801,15333783798146,gid://shopify/Product/15333783798146,MATCHED,GraphQL productVariants query by SKU,
16,Adjustable Vintage Brass Wall Sconce Smoked Grey Glass Wall Lamp ~6718,CRSF100YB+WSLS155YB+LSGLULSG,CRSF100YB+WSLS155YB+LSGLULSG,Adjustable Vintage Brass Wall Sconce Smoked Grey Glass Wall Lamp ~6718,15293722722690,gid://shopify/Product/15293722722690,MATCHED,GraphQL productVariants query by SKU,Resolved via full composite SKU match
17,Antique Copper Conduit Swan Neck Wall Light ~6915,ENC10324,ENC10324,Antique Copper Conduit Swan Neck Wall Light ~6915,15384135041410,gid://shopify/Product/15384135041410,MATCHED,GraphQL productVariants query by SKU,
18,Cable Raceway L Connector ~6906,PCFC1510WHAPK,PCFC1510WHAPK,Cable Raceway L Connector ~6906,15381735997826,gid://shopify/Product/15381735997826,MATCHED,GraphQL productVariants query by SKU,
19,Cable Trunking System with Self Adhesive Cover ~6896,PCUPVC1625WH,PCUPVC1625WH,Cable Trunking System with Self Adhesive Cover ~6896,15380989608322,gid://shopify/Product/15380989608322,MATCHED,GraphQL productVariants query by SKU,
20,Compact Reusable Wire Connector Terminal Block ~6907,CO432AGY,CO432AGY,Compact Reusable Wire Connector Terminal Block ~6907,15381172257154,gid://shopify/Product/15381172257154,MATCHED,GraphQL productVariants query by SKU,
21,Compact Reusable Wire Splicing Connector ~6899,CODH622AGY,CODH622AGY,Compact Reusable Wire Splicing Connector ~6899,15381088338306,gid://shopify/Product/15381088338306,MATCHED,GraphQL productVariants query by SKU,
22,Conduit Box Lid with Screws ~6895,PCM412WHAPK,PCM412WHAPK,Conduit Box Lid with Screws ~6895,15380541276546,gid://shopify/Product/15380541276546,MATCHED,GraphQL productVariants query by SKU,
23,Conduit Spacer Bar Clips ~6894,PCD20WH5PK,PCD20WH5PK,Conduit Spacer Bar Clips ~6894,15380529676674,gid://shopify/Product/15380529676674,MATCHED,GraphQL productVariants query by SKU,
