Rank,SKU,Type,Shopify_UK_Orders_DB,Amazon_UK_Orders_DB,eBay_UK_Orders_DB,Original_Shopify_Listing_Status,Original_Amazon_Revenue,Original_eBay_Revenue,Note
109,ENC809,Single,6,2,2,"Listed, not selling",£153.78,£127.11,Selling on Shopify — keep with Thivajini CPC
267,WCCYSQGD2PK,Single,28,2,1,"Listed, not selling",£71.78,£33.02,Selling on Shopify — keep with Thivajini CPC
445,WCCYSQBM,Single,12,1,1,"Listed, not selling",£20.89,£18.89,Selling on Shopify — keep with Thivajini CPC
171,CKB6820PCBM,Single,3,6,1,"Listed, not selling",£158.45,£28.89,Selling on Shopify — keep with Thivajini CPC
306,ENC338,Single,2,0,1,"Listed, not selling",£43.58,£41.74,Selling on Shopify — keep with Thivajini CPC
88,ENC3538,Single,2,7,2,"Listed, not selling",£269.98,£62.50,Selling on Shopify — keep with Thivajini CPC
