ProductId,Current stock,2026-07-13
CRFF500WH+PHCH1PWRSRE3PK+LSCY290RE3PK,36,52
CRFF140GL+LHNSE27YB+SCRN70BM+LSFT220BM,44,988
CRFF140GL+LHNSE27YB+SCRN70BM+LSFT220BB+ICST64E27,44,367
WCB6BM,752,400
CRFF500WH+PHCH1PWRSGY3PK+LSCY290GY3PK,93,82
CRFF140GL+LHNSE27YB+SCRN70BM+LSFT220YE,44,563
12IP6720,599,230
LDWWE2773PK,0,0
LDWWE2772PK,0,0
CCGNNSWE48,170,146
PLTYBC+ICST64E27,144,92
CRSF100BM+WSLS155GB+LSCY290RE,369,318
ENC4293,18,0
ENC4292,36,52
CRSF100GD2PK+PHAH2RGBGD2PK+ICST64E272PK,20,19
ENC4092,95,76
12IP6715,823,511
CRSF100HBM+WSLS155BM+SCRN70BM+LSFT220BM+PSDS2BPB,-,508
CRSF100BM2PK+PHAH2RCHBW2PK+ICST64E272PK,110,102
CRSF100FG+WSNW170FG+WCBNFG+ICST64E27,5,0
CRSF100BC+PLOTBC,152,135
ENC4089,68,60
LSMS320BI+RPR44WH,1837,1387
CRSF2003WH+PHCH1PWRSYE3PK+LSDO210YE3PK,0,57
PHSF1PWR20WH+LSWE315BU+ICST64E27,34,33
CRFF500WH+PHCH1PWRSWH3PK+LSCY290WH3PK,95,76
CRFF500WH+PHCH1PWRSRE3PK+LSSS300RE3PK,36,52
CRFF140GL+LHNSE27YB+SCRN70BM+LSFT220BL+ICST64E27,44,708
LDWWE277,-25,0
CRSF100BM+WSLS155GB+LSCY290GY+ICST64E27,369,318
WCB7BM,242,0
WCB4BS,133,16
ENC4090,0,57
LSFT220SN+RPR44WH,154,227
CRSF100BM+LHNSE27BM+SCRN70YB+LSLT360OR,264,234
ENC4205,45,30
PLTYBM+ICST64E27,244,202
LSLC180BC+RPR44WH,110,76
CRSF2003WH+PHCH1PWRSOR3PK+LSDO210OR3PK,52,39
CRSF2003WH+PHCH1PWRSGY3PK+LSDO210GY3PK,34,82
LSSS300RR+RPR44WH,195,188
LSDM220GS+RPR44WH,336,295
LSDM220CO+RPR44WH,302,198
CRFF500WH+PHCH1PWRSWH3PK+LSSS300WH3PK,95,76
CRFF140GL+LHNSE27YB+SCRN70BM+LSFT220BL,44,708
CRFF140GL+LHNSE27YB+SCRN70BM+LSFT220BC+ICST64E27,44,988
12IP6736,1822,1745
ENC4372,52,42
CRSF100HBM+WSLS155BM+SCRN70BM+LSFT220BM+PSDS2BPB+ICST64E27,-,0
CRSF100GD2PK+PHAH2RGBGD2PK,20,19
CRSF100FG+WSST70FG,117,82
CRSF100CH+WSST70CH,90,74
WCB7BS,326,59
CRSF100BM+PHCN1PBRBM+LSSS300BI,632,481
LSUL220BB+RPR44WH,245,179
CRSF100BM+PHSQ1PBRYB+LSFT220BL+LDMST64E274,0,708
ENC4193,305,0
12IP20100,109,72
CRSF100BM+PHBL1PBRBM+WCWVBM,98,84
CRSF100BM+LHNSE27BM+SCRN70YB+LSLT360BL,-,
WCB5BC,119,109
WCB3BB,333,322
ENC4091,36,52
LSMS320OR+RPR44WH,868,666
LDCWB22122PK,0,0
LSCY210BG+RPR44WH,1056,2442
LDCWE2725APK,35,22
CRFF500WH+PHCH1PWRSRE3PK+WCDTRE3PK,36,52
CRFF500RR+PHRI1PBRCO3PK+LSHH240RR3PK,9,5
CRFF140GL+LHNSE27YB+SCRN70BM+LSFT220OR,44,500
WCB5WH,28,13
WCB4BC,161,140
WCB4BB,181,173
PSOS2HETBM+WCWVBM,48,23
CRSF100BM+PHCN1PBRBM+LSSS300BM,842,869
CRSF100BM+PHSH1PBRYB+LSSS300BC+ICST64E27,45,239
CRSF100BM+PHSQ1PBRBM+WCSLBM,287,282
CRSF100BM+LHNSE27BM+SCRN70YB+LSLT360WH+ICST64E27,50,32
CRSF100BM+LHNSE27BM+SCRN70YB+LSLT360GY+ICST64E27,306,292
ENC4333,57,15
LSOL180BM+RPR44WH,1276,2188
LSMS320GR+RPR44WH,1228,984
CRSF2003WH+PHCH1PWRSGR3PK+WCDTGR3PK,18,0
CRSF2003BC+PHRI1PBRYB3PK+LSHH240BC3PK,52,42
LSUL220RR+RPR44WH,146,259
LSUL220BS+RPR44WH,369,343
LSSS300SN+RPR44WH,162,77
PHSF1PWR20WH+LSWE315BD+ICST64E27,-,
LSTF40YB+RPR44WH,328,147
LSTF40RR+RPR44WH,255,249
LDCWB22123PK,0,0
LSDO210BS+RPR44WH,201,344
LSDM220CH+RPR44WH,109,80
CRFF500WH+PHCH1PWRSGR3PK+WCDTGR3PK,18,0
CRFF140GL+LHNSE27YB+SCRN70BM+LSFT220WH,44,773
CRFF140RO+WSNW170RO+WCDCRO+ICST64E27,102,153
ENC4156,7,3
CCBC12,236,166
CRSF100BM+PHSH1PBRYB+LSSS300GY,190,237
LSFT220CH+RPR44WH,253,129
LSOL180BS+RPR44WH,171,128
LSMS320YE+RPR44WH,485,188
LSMS320BT+RPR44WH,459,442
CRSF2003WH+PHCH1PWRSRE3PK+WCDTRE3PK,36,52
LSSS300BS+RPR44WH,0,77
CRFF500WH+PHCH1PWRSYE3PK+LSCY290YE3PK,0,57
CRFF500WH+PHCH1PWRSPI3PK+LSSS300PI3PK,0,1
LDWWE2775PK,0,0
CRSF100BM+PHCN1PBRBM+LSSS300BM+ICST64E27,842,869
CRSF100YB+PHCN1PBRYB+LSSS300YB,59,5
LSSS300BI+RPR44WH,632,481
LSFT220YB+RPR44WH,594,415
CRSF1205BM+PHSH2PBRYB5PK+SPUPBM5PK+SCRN70BM+SCRN70FG2PK+LSCY210BM+LSTF40YB+LSUL220BC+LSDO300CO+WCSLBM+ICST64E275PK,-,0
CRSF100BM+LHNSE27BM+SCRN70YB+LSLT360YE,149,141
CRSF100BM+LHNSE27BM+SCRN70YB+LSLT360BL+ICST64E27,-,
ENC4199,4,1
ENC4295,57,15
LSHH240BS+RPR44WH,188,171
LSHH240BM+RPR44WH,142,88
CRSF2003WH+PHCH1PWRSYE3PK+WCDTYE3PK,0,19
CRSF2003WH+PHCH1PWRSWH3PK+WCDTWH3PK,92,74
CRSF2003WH+PHCH1PWRSWH3PK+LSDO210WH3PK,80,76
CRSF2003WH+PHCH1PWRSBL3PK+LSDO210BL3PK,8,29
LSCY210RR+RPR44WH,214,207
CRFF500WH+PHCH1PWRSGR3PK+LSSS300GR3PK,18,0
CRFF500BC+PHRI1PBRYB3PK+LSHH240BC3PK,1,42
CRFF140GL+LHNSE27YB+SCRN70BM+LSFT220GR+ICST64E27,44,988
CRFF140GL+LHNSE27YB+SCRN70BM+LSFT220BM+ICST64E27,44,988
12IP6710,963,711
ENC4371,47,29
CRSF100BM+WSLS155GB+LSCY290BL,369,318
LSRP260CO+RPR44WH,229,181
CRSF100GD2PK+PHAH2RYBGD2PK+ICST64E272PK,35,30
CRSF100GD2PK+PHAH2RYBGD2PK,35,30
WCB4RR,314,304
ENC4100,0,57
CRSF100BM+PHSQ1PBRYB+LSFT220BM,0,2474
CRSF100RE2PK+WSCH135RE2PK+LSDO210RE2PK,22,56
