product_item_id,shopify_id,sku,title,status,quantity,listing_max_platform_stock,compare_price,price,merch_avail,merch_sale_price,spend_30d,clicks_30d
7644912386298,7644912386298,,Industrial Matte Black Pendant Lighting Shade Bowl Shape Metal~3727,active,,,,,IN_STOCK,,2.72,4
6664892317857,6664892317857,,Rustic Red Rustic Pendant Light Industrial Single Ceiling Hanging Lighting Fixture~1552,active,,,,,IN_STOCK,,2.68,6
7961561334010,7961561334010,,Vintage Metal Retro Modern Plug In Wall Sconce Light Fitting ~ 5368,active,,,,,IN_STOCK,18.65,2.60,6
6022553796769,6022553796769,,LEDSone Modern Retro Copper colour Wall Light~1739,active,,,,,IN_STOCK,14.73,2.50,7
6022553796769,6022553796769,,LEDSone Modern Retro Copper colour Wall Light~1739,active,,,,,IN_STOCK,,2.50,7
4537521242208,4537521242208,,5 Pack Metal Cord Grip Cable Lock for Lamp Pendant ~2411,active,,,,,IN_STOCK,4.74,2.48,10
7642575470842,7642575470842,,Fabric Hemp Flex Cable kit Black Plug In Pendant Lamp Light E27~3692,active,,,,,IN_STOCK,,2.36,8
7852431048954,7852431048954,,240V to 12V Power Supply Adapter for LED Strip Lights &CCTV~4090,active,,,,,IN_STOCK,,2.18,24
7692736659706,7692736659706,,LED Bulbs Bayonet ST64 B22 4W Dimmable Filament Edison Light Bulbs ~3874,active,,,,,IN_STOCK,10.69,2.14,4
7977117712634,7977117712634,,10 pack G125 E27 8W Dimmable Globe Vintage LED Retro Light Bulb~4165,active,,,,,IN_STOCK,46.25,2.04,3
6845726851233,6845726851233,,LED E27 A60 18W Warm White 2700K Non-Dimmable Bulb(Energy Saving)~1379,active,,,,,IN_STOCK,1.35,1.87,3
6845726851233,6845726851233,,LED E27 A60 18W Warm White 2700K Non-Dimmable Bulb(Energy Saving)~1379,active,,,,,IN_STOCK,,1.87,3
8009254797562,8009254797562,,Black Inner Gold GU10 Tube Pendant Light 20cm/30cm/40cm~4593,active,,,,,IN_STOCK,,1.86,4
8009254797562,8009254797562,,Black Inner Gold GU10 Tube Pendant Light 20cm/30cm/40cm~4593,active,,,,,IN_STOCK,17.39,1.86,4
4551406780512,4551406780512,,Antique Brass Vintage Pendant Cord Suspension Set ~2381,active,,,,,IN_STOCK,,1.85,8
4551406780512,4551406780512,,Antique Brass Vintage Pendant Cord Suspension Set ~2381,active,,,,,IN_STOCK,12.89,1.85,8
14878715249026,14878715249026,,LED G4 2W Cool White 6500K Non-Dimmable Bulb(Energy Saving) ~5624,active,,,,,IN_STOCK,0.95,1.74,7
14878715249026,14878715249026,,LED G4 2W Cool White 6500K Non-Dimmable Bulb(Energy Saving) ~5624,active,,,,,IN_STOCK,,1.74,7
4536806572128,4536806572128,,Black Industrial Drum Metal Wire Cage Easy Fit Ceiling Lampshade~2428,active,,,,,IN_STOCK,,1.66,9
7615777014010,7615777014010,,Black click in Screw E27 Light Bulb Lamp Holder Base Pendant Socket~3651,active,,,,,IN_STOCK,,1.44,12
7570088362234,7570088362234,,30cm BSP  Malleable Tubing iron threaded pipe Light Fittings~3535,active,,,,,IN_STOCK,,1.38,8
7570088362234,7570088362234,,30cm BSP  Malleable Tubing iron threaded pipe Light Fittings~3535,active,,,,,IN_STOCK,4.89,1.38,8
5991593246881,5991593246881,,Rustic Red Vintage Retro Flush Mount Ceiling Light Rustic Color Metal Lampshade~1787,active,,,,,IN_STOCK,,1.32,4
8134249382138,8134249382138,,Waterproof Reflective Safety Tape Floor Marking Self-Adhesive Roll~5191,active,,,,,IN_STOCK,,1.32,4
7589224775930,7589224775930,,3 Way Over Ceiling Indoor Hanging Light Metal ~3589,active,,,,,IN_STOCK,,1.30,4
7589224775930,7589224775930,,3 Way Over Ceiling Indoor Hanging Light Metal ~3589,active,,,,,IN_STOCK,32.66,1.30,4
8167782383866,8167782383866,,Pretty Table Lamp Retro Metal Cage with Wood Base E27~5356,active,,,,,IN_STOCK,,1.30,4
