product_item_id,product_id,variant_id,sku,product_title,campaign_id,site,status,quantity,compare_price,current_price,total_clicks,total_spend,total_conversions,total_conversion_value,compare_price_bucket
shopify_gb_14882318418306_54884383326594,14882318418306,54884383326594,PCSN220CH,Chrome,22079334413,UK,active,128,0.00,4.89,2,0.68,0.00,0.00,ZERO
shopify_gb_6054233637025_37659520106657,6054233637025,37659520106657,CRSF100GR+PHCH1PWRSGR+LSMS320GR,Green,21069663519,UK,active,91,0.00,15.89,2,0.68,0.00,0.00,ZERO
shopify_gb_14951624147330_55099599683970,14951624147330,55099599683970,WLFS2202YBM,02,21069663519,UK,active,79,0.00,19.89,1,0.67,0.48,20.62,ZERO
shopify_gb_15114465935746_55740741845378,15114465935746,55740741845378,ENC2002,Without Bulb / SPIDER 8,23110323532,UK,active,60,,71.00,2,0.66,0.00,0.00,NULL
shopify_gb_6810064847009_55649641070978,6810064847009,55649641070978,PHSG1PBRYB+SCRN70BM+LSPG250AR+ICST64E27,Yes,23110323532,UK,active,66,,22.89,3,0.64,0.00,0.00,NULL
shopify_gb_15047001506178_55488526025090,15047001506178,55488526025090,CGSPBM5PK,Black,21242723265,UK,active,0,0.00,4.59,2,0.62,0.86,6.42,ZERO
shopify_gb_5240106352801_46496034586874,5240106352801,46496034586874,CO126ACL,6A / 1,21242723265,UK,active,1772,,0.36,1,0.57,0.00,0.00,NULL
shopify_gb_8013804732666_44533785264378,8013804732666,44533785264378,LHNSE27GB,Green Brass,21242723265,UK,active,843,,6.19,2,0.57,0.00,0.00,NULL
shopify_gb_8649884762362_46784256901370,8649884762362,46784256901370,LHTOE27RO,Rose Gold,21069663519,UK,active,41,0.00,5.85,2,0.51,0.00,0.00,ZERO
shopify_gb_8004471390458_44451293266170,8004471390458,44451293266170,PCRNSR,Socket,21242723265,UK,active,143,0.00,2.79,1,0.49,0.00,0.00,ZERO
shopify_gb_14983364116866_55196263285122,14983364116866,55196263285122,ENC8672,Grey / 50cm / No,23110323532,UK,active,8,0.00,21.99,1,0.45,0.00,0.00,ZERO
shopify_gb_8004329373946_44450234401018,8004329373946,44450234401018,PCGZFF,Flange,22079334413,UK,active,6,0.00,1.49,1,0.45,0.00,0.00,ZERO
shopify_gb_4417296695392_31497623142496,4417296695392,31497623142496,CL3RBRAPK,Brown,22079334413,UK,active,16,0.00,18.89,2,0.45,0.00,0.00,ZERO
shopify_gb_7642582417658_42878432018682,7642582417658,42878432018682,CRFF140GL+WSWH135BM+LSDO210NB,No,23590572906,UK,active,120,0.00,21.49,1,0.43,0.00,0.00,ZERO
shopify_gb_7691075289338_43052077089018,7691075289338,43052077089018,PHUH1HETBM+LSSS300GR,No / Green,23110323532,UK,active,410,,16.99,1,0.42,0.06,3.66,NULL
shopify_gb_4417274052704_31497556263008,4417274052704,31497556263008,CRSF100YE,Default Title,22079334413,UK,active,541,0.00,4.99,3,0.39,0.00,0.00,ZERO
shopify_gb_7502163738874_42242485616890,7502163738874,42242485616890,ENC2231,Yellow Brass / No,23110323532,UK,active,176,0.00,35.99,1,0.38,0.00,0.00,ZERO
shopify_gb_8173292093690_45181234970874,8173292093690,45181234970874,LSEL400GR+RPR44WH,Green / Pack 01,22079334413,UK,active,235,,14.29,1,0.38,0.00,0.00,NULL
