product_title,product_type,skus,total_stock
100W LED driver switch power supply transformer IP67 Ultra Slim~2099,Waterproof Transformers,12SIP67100,184
LEDSone industrial vintage 100mm ceiling rose side fitting burgandy~3645,,CRSF100BU,180
Smooth Holder Copper retro antique vintage lamp holder~2728,Lamp_Holder,LHBBE27CO,178
LEDSone industrial Vintage 6 Outlet Chrome Metal Ceiling Rose 120x25mm~2787,Lighting Accessories,CRSF1206CH,177
120mm Yellow Brass 6 Outlet Ceiling Rose Pendant Light Fitting ~2751,Lighting Accessories,CRSF1206YB,173
3 Outlet Green Brass Metal Ceiling Rose 120x25mm~2763,Lighting Accessories,CRSF1203GB,171
7 Outlet Green Brass Metal Ceiling Rose 120x25mm~2759,Lighting Accessories,CRSF1207GB,171
Tiffany style Pendant Hanging Mediterranean Style Decorative Light Shade~4541,Lampshade,"LSMCSPDRFL+RPM40WH, LSMCSPDRFL2PK+RPM40WH2PK",163
5 Outlet French Gold Metal Ceiling Rose 120x25mm~2797,Multi_Outlet_Ceiling_Rose,CRSF1205FG,161
DC 24V 8.3A 200W IP67 Waterproof LED Driver Power Supply Transformer ~1226,Constant Voltage Transformer,24IP67200,158
300mA High Power DC Connector Power Supply LED Ceiling light (30-40w)~4422,Transformer_LED,CCBKNWE40,158
Brushed Silver Lamp Shade Cap for Pendant Light Socket Holder Fitting~1036,Ceiling Rose,SCRN70BS,157
Geometric Minimalist Pendant Light E27 Metal ~5970,Pendant Lighting,"WCLRBM, WCLTBM, WCLSBM",152
New LED Recessed Ceiling Round Panel Down Light 5W Cool White/Warm White~1400,Panel Light,"LPBZCW5W5PK, LPBZCW5W3PK, LPBZWW5W5PK, LPBZWW5W3PK, LPBZCW5W, LPBZWW5W",151
Vintage Modern Indoor Black Wall Sconce Wall Light Lamp Fitting Fixture ~1327,Wall Light,"WSNGBM, WSWMBM, WSWGWO",149
White E27 Edison screw Bulb Metal lamp holder Pack 1/2 ~4934,Lamp Holders,"LHHGE27WH, LHHGE27WH2PK",148
Barrel Holder Satin Nickel Antique E27 Lamp Holder~2716,Lamp_Holder,LHBLE27SN,140
LEDSone Lamp Light Bulb Holder Antique Retro Edison E27 Fitting~1424,Lamp Holders,"LHCHE27RO, LHCHE27CH, LHCHE27BY, LHCHE27CO, LHCHE27YB, LHCHE27SN",138
Industrial Bronze & Brass E27 Lamp Light Bulb holder~2684,Lamp Holders,"LHS6E27BY, LHS6E27BY, LHS6E27CH, LHS6E27CO, LHS6E27RO, LHS6E27SN",135
Copper ES E27 Lamp Bottle Shape Antique Bulb Holder~2973,Lamp_Holder,LHBHE27CO,134
12V 60W LED Transformer 5A Switching Power Supply AC to DC~3332,Constant Voltage Transformer,12MIP2060,129
Retro Wood Wall Sconce Light~1415,Wall_Lamp_Shades_Lighting,"WSFTWH2PK, WSFTBM2PK",128
DC12V 80W IP20 Mini Universal 6.6A Switching LED Transformer~3331,Constant Voltage Transformer,12MIP2080,122
1M/5M/10M 3 Core Twisted Blue Multi Tweed Vintage Electric fabric Cable Flex 0.75mm~3003,cable,"CL3TMU, CL3TMU5PK, CL3TMUAPK",118
120mm Chrome Metal 4 Outlet Ceiling Rose Pendant Light Fitting ~2789,Multi_Outlet_Ceiling_Rose,CRSF1204CH,115
Metal Ceiling Roses French Gold 108mm Diameter ~1469,Single_Outlet_Ceiling_Rose,CRSF108FG,113
2m Round Cable E27 Base Rose Gold Pendant Holder~1722,Pendant_Holder,PHSF2RORRO,109
